occupation_name,technology_skills
Agricultural Technicians,"Analytical or scientific software — Statistical software Related occupations
Data base user interface and query software — Microsoft Access Related occupations
Desktop publishing software — Related occupations
Electronic mail software — Email software
Electronic mail software — Microsoft Outlook Related occupations
Enterprise resource planning ERP software — SAP software Related occupations
Geographic information system — Geographic information system GIS systems Related occupations
Internet browser software — Web browser software Related occupations
Mobile location based services software — Global positioning system GPS software Related occupations
Office suite software — Microsoft Office software Related occupations
Operating system software — Microsoft operating system Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Word processing software — Microsoft Word Related occupations"
"Agricultural Workers, All Other",Section not found
Air Crew Members,Section not found
Air Crew Officers,Section not found
Air Traffic Controllers,"Data base user interface and query software — Microsoft Access Related occupations
Document management software — Adobe Acrobat Related occupations
Electronic mail software — Microsoft Outlook Related occupations
Enterprise resource planning ERP software — SAP software Related occupations
Expert system software — Advanced technologies and oceanic procedures ATOP
Expert system software — Automated radar terminal systems ARTS
Expert system software — Center TRACON automation systems CTAS Related occupations
Flight control software — Direct-to-tool software
Flight control software — En route descent advisor EDA
Flight control software — Multi-center traffic management advisor McTMA
Flight control software — Traffic management advisor TMA software
Flight control software — 3 more Related occupations
Office suite software — Microsoft Office software Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Web page creation and editing software — Really Simple Syndication RSS Related occupations
Word processing software — Microsoft Word Related occupations"
Aircraft Cargo Handling Supervisors,"Electronic mail software — Microsoft Outlook Related occupations
Inventory management software — Cargo tracking system software Related occupations
Materials requirements planning logistics and supply chain software — Warehouse management system WMS Related occupations
Office suite software — Corel WordPerfect Office Suite
Office suite software — Microsoft Office software Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Web page creation and editing software — Facebook Related occupations
Word processing software — Microsoft Word Related occupations"
Aircraft Launch and Recovery Officers,Section not found
Aircraft Launch and Recovery Specialists,Section not found
Aircraft Mechanics and Service Technicians,"Accounting software — DatcoMedia EBis Related occupations
Analytical or scientific software — CaseBank SpotLight
Analytical or scientific software — Engine analysis software Related occupations
Compiler and decompiler software — Disassembler software Related occupations
Computer aided manufacturing CAM software — Related occupations
Data base user interface and query software — Mxi Technologies Maintenix
Data base user interface and query software — Operational Data Store ODS software
Data base user interface and query software — Pentagon 2000SQL Related occupations
Document management software — Technical Data Management System TDMS Related occupations
Electronic mail software — Microsoft Outlook Related occupations
Enterprise resource planning ERP software — SAP software
Enterprise resource planning ERP software — Tracware AeroTrac Related occupations
Facilities management software — Access Software AIRPAX
Facilities management software — Maintenance information databases
Facilities management software — Maintenance planning software
Facilities management software — Maintenance record software Related occupations
Information retrieval or search software — Computerized aircraft log manager CALM
Information retrieval or search software — Technical manual database software Related occupations
Internet browser software — Web browser software Related occupations
Inventory management software — Supply system software Related occupations
Office suite software — Microsoft Office software Related occupations
Operating system software — Microsoft Windows Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Word processing software — Microsoft Word Related occupations"
Aircraft Service Attendants,"Analytical or scientific software — Engine analysis software Related occupations
Facilities management software — Access Software AIRPAX
Facilities management software — Maintenance information databases
Facilities management software — Maintenance planning software
Facilities management software — Maintenance record software Related occupations
Information retrieval or search software — Computerized aircraft log manager CALM
Information retrieval or search software — Technical manual database software Related occupations
Inventory management software — Supply system software Related occupations
Office suite software — Microsoft Office software Related occupations
Operating system software — Microsoft Windows Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Word processing software — Microsoft Word Related occupations"
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers","Computer aided design CAD software — Related occupations
Electronic mail software — Microsoft Outlook Related occupations
Enterprise resource planning ERP software — SAP software Related occupations
Industrial control software — Electrical power management system software Related occupations
Office suite software — Microsoft Office software Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Word processing software — Microsoft Word Related occupations"
Airfield Operations Specialists,"Accounting software — Intuit QuickBooks Related occupations
Application server software — Apache HTTP Server Related occupations
Calendar and scheduling software — Operations scheduling software Related occupations
Data base user interface and query software — FileMaker Pro
Data base user interface and query software — Microsoft Access
Data base user interface and query software — Oracle Database
Data base user interface and query software — TRMI Airport AVI
Data base user interface and query software — 3 more Related occupations
Document management software — Microsoft SharePoint Related occupations
Electronic mail software — Microsoft Outlook Related occupations
Enterprise application integration software — Extensible markup language XML Related occupations
Enterprise resource planning ERP software — SAP software Related occupations
Expert system software — Decision Support Technologies Propworks Related occupations
Graphics or photo imaging software — Adobe Photoshop Related occupations
Internet protocol IP multimedia subsystem software — Internet Protocol Television Systems Related occupations
Office suite software — Microsoft Office software Related occupations
Operating system software — Linux
Operating system software — Microsoft operating system
Operating system software — Microsoft Windows Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Word processing software — Microsoft Word Related occupations"
