occupation_name,technology_skills
Information Technology Project Managers,"Access software — Citrix cloud computing software Related occupations
Accounting software — Tax software Related occupations
Analytical or scientific software — IBM SPSS Statistics
Analytical or scientific software — Minitab
Analytical or scientific software — SAS
Analytical or scientific software — The MathWorks MATLAB
Analytical or scientific software — 1 more Related occupations
Application server software — Docker
Application server software — GitHub
Application server software — Red Hat OpenShift
Application server software — Spring Boot
Application server software — 3 more Related occupations
Backup or archival software — Veritas NetBackup Related occupations
Business intelligence and data analysis software — Apache Spark
Business intelligence and data analysis software — IBM Cognos Impromptu
Business intelligence and data analysis software — Oracle Business Intelligence Enterprise Edition
Business intelligence and data analysis software — Tableau
Business intelligence and data analysis software — 2 more Related occupations
Calendar and scheduling software — Scheduling software Related occupations
Cloud-based data access and sharing software — Glasscubes
Cloud-based data access and sharing software — Google Drive
Cloud-based data access and sharing software — Slack
Cloud-based data access and sharing software — Wrike Related occupations
Cloud-based management software — IBM WebSphere
Cloud-based management software — IBM WebSphere MQ
Cloud-based management software — Splunk Enterprise Related occupations
Clustering software — VMware Related occupations
Communications server software — IBM Domino Related occupations
Computer aided design CAD software — Autodesk AutoCAD
Computer aided design CAD software — Autodesk Revit
Computer aided design CAD software — Dassault Systemes CATIA Related occupations
Computer based training software — Blackboard software
Computer based training software — Edulastic Related occupations
Configuration management software — Chef
Configuration management software — IBM Software Configuration and Library Manager SCLM
Configuration management software — Perforce Helix software
Configuration management software — Puppet Related occupations
Customer relationship management CRM software — Blackbaud The Raiser's Edge
Customer relationship management CRM software — Oracle Eloqua
Customer relationship management CRM software — Salesforce software Related occupations
Data base management system software — Amazon DynamoDB
Data base management system software — Apache Hive
Data base management system software — Elasticsearch
Data base management system software — Oracle PL/SQL
Data base management system software — 10 more Related occupations
Data base reporting software — Microsoft SQL Server Reporting Services SSRS
Data base reporting software — SAP Crystal Reports Related occupations
Data base user interface and query software — Airtable
Data base user interface and query software — IBM DB2
Data base user interface and query software — ServiceNow
Data base user interface and query software — Transact-SQL
Data base user interface and query software — 21 more Related occupations
Data mining software — Google Analytics Related occupations
Desktop communications software — Skype Related occupations
Desktop publishing software — Adobe InDesign
Desktop publishing software — Microsoft Publisher Related occupations
Development environment software — Apache Kafka
Development environment software — Apache Maven
Development environment software — Microsoft Team Foundation Server
Development environment software — Oracle Java 2 Platform Enterprise Edition J2EE
Development environment software — 31 more Related occupations
Document management software — Adobe Acrobat
Document management software — Document management system software
Document management software — Microsoft SharePoint
Document management software — O3spaces Workplace Related occupations
Electronic mail software — IBM Notes
Electronic mail software — Microsoft Exchange
Electronic mail software — Microsoft Outlook Related occupations
Enterprise application integration software — Extensible markup language XML
Enterprise application integration software — IBM InfoSphere DataStage
Enterprise application integration software — Microsoft SQL Server Integration Services SSIS
Enterprise application integration software — Oracle Fusion Middleware
Enterprise application integration software — 1 more Related occupations
Enterprise resource planning ERP software — Microsoft Dynamics
Enterprise resource planning ERP software — Oracle PeopleSoft
Enterprise resource planning ERP software — SAP ERP
Enterprise resource planning ERP software — SAP software
Enterprise resource planning ERP software — 13 more Related occupations
Enterprise system management software — IBM Power Systems software
Enterprise system management software — Kforge Related occupations
Expert system software — Ansible software Related occupations
File versioning software — Apache Subversion SVN
File versioning software — Continuous integration software
File versioning software — Git
File versioning software — Version control software Related occupations
Financial analysis software — Delphi Technology
Financial analysis software — Oracle E-Business Suite Financials Related occupations
Geographic information system — ESRI ArcGIS software
Geographic information system — Geographic information system GIS software Related occupations
Graphical user interface development software — Salesforce Visualforce Related occupations
Graphics or photo imaging software — Adobe Creative Cloud software
Graphics or photo imaging software — Adobe Illustrator
Graphics or photo imaging software — JamBoard
Graphics or photo imaging software — Trimble SketchUp Pro
Graphics or photo imaging software — 1 more Related occupations
Human resources software — Human resource management software HRMS
Human resources software — Oracle Taleo Related occupations
Industrial control software — Supervisory control and data acquisition SCADA software Related occupations
Information retrieval or search software — LexisNexis Related occupations
Internet protocol IP multimedia subsystem software — Voice over internet protocol VoIP system software Related occupations
Medical software — Epic Systems
Medical software — Healthcare common procedure coding system HCPCS Related occupations
Metadata management software — Quest Erwin Data Modeler Related occupations
Mobile location based services software — Resource management software Related occupations
Network monitoring software — Nagios
Network monitoring software — Wireshark Related occupations
Network security or virtual private network VPN management software — Virtual private networking VPN software Related occupations
Object or component oriented development software — C#
Object or component oriented development software — jQuery
Object or component oriented development software — Scala
Object or component oriented development software — Swift
Object or component oriented development software — 10 more Related occupations
Object oriented data base management software — Hibernate ORM
Object oriented data base management software — PostgreSQL Related occupations
Office suite software — Microsoft Office software Related occupations
Operating system software — Bash
Operating system software — Microsoft Windows Server
Operating system software — Red Hat Enterprise Linux
Operating system software — UNIX Shell
Operating system software — 11 more Related occupations
Pattern design software — MatchWare MindView
Pattern design software — MindGenius
Pattern design software — MPI Micro Planner X-Pert
Pattern design software — NovaMind Merlin Project Manager
Pattern design software — 1 more Related occupations
Portal server software — Apache HTTP Server Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Process mapping and design software — Microsoft Visio Related occupations
Program testing software — Hewlett Packard LoadRunner
Program testing software — JUnit
Program testing software — Selenium Related occupations
Project management software — Atlassian Confluence
Project management software — Atlassian JIRA
Project management software — Microsoft Teams
Project management software — Oracle Primavera Enterprise Project Portfolio Management
Project management software — 63 more Related occupations
Requirements analysis and system architecture software — Unified modeling language UML Related occupations
Sales and marketing software — Google Ads
Sales and marketing software — Marketo Marketing Automation Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Transaction security and virus protection software — McAfee
Transaction security and virus protection software — NortonLifeLock cybersecurity software Related occupations
Transaction server software — Customer information control system CICS Related occupations
Video conferencing software — Cisco Webex
Video conferencing software — Google Meet
Video conferencing software — LogMeIn GoToMeeting Related occupations
Video creation and editing software — Apple Final Cut Pro
Video creation and editing software — Screencast-O-Matic Related occupations
Web page creation and editing software — Adobe Dreamweaver
Web page creation and editing software — Facebook Related occupations
Web platform development software — Django
Web platform development software — Google Angular
Web platform development software — React
Web platform development software — Spring Framework
Web platform development software — 21 more Related occupations
Word processing software — 3M Post-it App
Word processing software — Google Docs
Word processing software — Microsoft OneNote
Word processing software — Microsoft Word Related occupations"
"Inspectors, Testers, Sorters, Samplers, and Weighers","Analytical or scientific software — Data analysis software
Analytical or scientific software — Minitab
Analytical or scientific software — The MathWorks MATLAB
Analytical or scientific software — Tolerance analysis software
Analytical or scientific software — 1 more Related occupations
Computer aided design CAD software — Autodesk AutoCAD
Computer aided design CAD software — Dassault Systemes CATIA
Computer aided design CAD software — Dassault Systemes SolidWorks
Computer aided design CAD software — Mastercam Design
Computer aided design CAD software — 1 more Related occupations
Computer aided manufacturing CAM software — Computer-aided inspection software
Computer aided manufacturing CAM software — Mastercam computer-aided design and manufacturing software Related occupations
Content workflow software — Atlassian JIRA Related occupations
Data base management system software — Apache Hive
Data base management system software — Apache Pig Related occupations
Data base user interface and query software — Data entry software
Data base user interface and query software — Database software
Data base user interface and query software — Microsoft Access
Data base user interface and query software — Structured query language SQL
Data base user interface and query software — 1 more Related occupations
Desktop communications software — Skype Related occupations
Document management software — Microsoft SharePoint Related occupations
Electronic mail software — IBM Lotus Notes
Electronic mail software — IBM Notes
Electronic mail software — Microsoft Outlook Related occupations
Enterprise application integration software — Extensible markup language XML Related occupations
Enterprise resource planning ERP software — SAP software Related occupations
Industrial control software — Coordinate measuring machine software
Industrial control software — Cybermetrics GAGETrak
Industrial control software — Verisurf Metrology
Industrial control software — Wilcox Associates PC-DMIS Inspection Planner
Industrial control software — 1 more Related occupations
Label making software — Inspection marking systems Related occupations
Medical software — Medical condition coding software Related occupations
Object or component oriented development software — R Related occupations
Office suite software — Microsoft Office software Related occupations
Optical character reader OCR or scanning software — Label inspection systems Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Process mapping and design software — Microsoft Visio Related occupations
Program testing software — Selenium Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Word processing software — Microsoft Word Related occupations"
"Installation, Maintenance, and Repair Workers, All Other",Section not found
Instructional Coordinators,"Charting software — SmartDraw VP Related occupations
Computer based training software — Common Curriculum
Computer based training software — EasyCBM
Computer based training software — Moodle
Computer based training software — Schoology
Computer based training software — 18 more Related occupations
Data base management system software — Oracle PL/SQL Related occupations
Data base user interface and query software — Blackboard software
Data base user interface and query software — Microsoft Access
Data base user interface and query software — Structured query language SQL Related occupations
Desktop communications software — Edmodo Related occupations
Desktop publishing software — Adobe FrameMaker
Desktop publishing software — Adobe InDesign
Desktop publishing software — Microsoft Publisher
Desktop publishing software — Performance Technology Associates DocuTools Related occupations
Development environment software — Adobe ActionScript Related occupations
Document management software — Adobe Acrobat
Document management software — Microsoft SharePoint
Document management software — Microsoft SharePoint Server
Document management software — Vasont Content Management System Related occupations
Electronic mail software — Email software
Electronic mail software — Microsoft Outlook Related occupations
Enterprise application integration software — Extensible markup language XML Related occupations
Graphical user interface development software — Adobe RoboHelp Related occupations
Graphics or photo imaging software — Adobe Creative Cloud software
Graphics or photo imaging software — Adobe Illustrator
Graphics or photo imaging software — Adobe Photoshop
Graphics or photo imaging software — TechSmith Snagit
Graphics or photo imaging software — 1 more Related occupations
Human resources software — Human resource management software HRMS Related occupations
Internet browser software — Web browser software Related occupations
Multi-media educational software — Edpuzzle
Multi-media educational software — Kahoot!
Multi-media educational software — Seesaw Related occupations
Music or sound editing software — Audacity
Music or sound editing software — Sony Sound Forge Related occupations
Network conferencing software — Adobe Connect
Network conferencing software — Webinar software Related occupations
Object or component oriented development software — Oracle Java Related occupations
Office suite software — Corel WordPerfect Office Suite
Office suite software — Microsoft Office software Related occupations
Presentation software — Adobe Presenter
Presentation software — Microsoft PowerPoint
Presentation software — Poll Everywhere Related occupations
Process mapping and design software — Microsoft Visio Related occupations
Project management software — etouches
Project management software — Google Classroom
Project management software — Microsoft Project Related occupations
Spreadsheet software — IBM Lotus 1-2-3
Spreadsheet software — Microsoft Excel Related occupations
Video creation and editing software — Adobe After Effects
Video creation and editing software — Flipgrid
Video creation and editing software — Screencast-O-Matic
Video creation and editing software — WeVideo
Video creation and editing software — 5 more Related occupations
Web page creation and editing software — Adobe Dreamweaver
Web page creation and editing software — IXL Learning Quia Web
Web page creation and editing software — Nvu
Web page creation and editing software — SeaMonkey
Web page creation and editing software — 1 more Related occupations
Web platform development software — Cascading style sheets CSS
Web platform development software — Drupal
Web platform development software — Hypertext markup language HTML
Web platform development software — JavaScript
Web platform development software — 2 more Related occupations
Word processing software — Microsoft Word Related occupations"
"Insulation Workers, Floor, Ceiling, and Wall","Analytical or scientific software — North American Insulation Manufacturers Association NAIMA 3E Plus Related occupations
Data base user interface and query software — CMSN FieldPAK
Data base user interface and query software — Comput-Ability Mechanical Insulation Key Estimator Related occupations
Electronic mail software — Microsoft Outlook Related occupations
Office suite software — Microsoft Office software Related occupations
Operating system software — Microsoft Windows Related occupations
Project management software — Turtle Creek Software Goldenseal Related occupations
Spreadsheet software — Microsoft Excel Related occupations"
"Insulation Workers, Mechanical","Analytical or scientific software — North American Insulation Manufacturers Association NAIMA 3E Plus Related occupations
Data base user interface and query software — CMSN FieldPAK
Data base user interface and query software — Comput-Ability Mechanical Insulation Key Estimator Related occupations
Enterprise resource planning ERP software — IBM Maximo Asset Management Related occupations
Project management software — Turtle Creek Software Goldenseal Related occupations"
"Insurance Appraisers, Auto Damage","Accounting software — NCH Software Express Invoice Related occupations
Compiler and decompiler software — Disassembler software Related occupations
Data base user interface and query software — Information Services Inc. CCC Pathways Appraisal Solution
Data base user interface and query software — Meridian Technologies SurePoint
Data base user interface and query software — Vertafore ImageRight Related occupations
Document management software — Adobe Acrobat Related occupations
Electronic mail software — Email software
Electronic mail software — Microsoft Outlook Related occupations
Graphics or photo imaging software — A-T Solutions Easy Street Draw Related occupations
Internet browser software — Web browser software Related occupations
Office suite software — Microsoft Office software Related occupations
Operating system software — Microsoft Windows Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Project management software — App Software Associations AppTrak.net
Project management software — Cost estimating software
Project management software — Swan River Software Estimiser Pro
Project management software — Web-Est estimating software
Project management software — 2 more Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Word processing software — Microsoft Word Related occupations"
Insurance Claims and Policy Processing Clerks,"Accounting software — Account management software
Accounting software — Billing software Related occupations
Data base user interface and query software — Database software
Data base user interface and query software — Microsoft Access
Data base user interface and query software — Policy issuance system software
Data base user interface and query software — Xactware Xactimate
Data base user interface and query software — 5 more Related occupations
Document management software — InSystems Calligo Enterprise Related occupations
Electronic mail software — IBM Lotus Notes
Electronic mail software — MicroFocus GroupWise
Electronic mail software — Microsoft Outlook Related occupations
Financial analysis software — Insurance rating software Related occupations
Instant messaging software — GroupMe Related occupations
Internet browser software — Microsoft Internet Explorer
Internet browser software — Web browser software Related occupations
Medical software — Healthcare common procedure coding system HCPCS
Medical software — Medical condition coding software
Medical software — Medical procedure coding software Related occupations
Office suite software — Microsoft Office software Related occupations
Operating system software — Microsoft Windows Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Word processing software — Microsoft Word Related occupations"
Insurance Sales Agents,"Calendar and scheduling software — Scheduling software Related occupations
Customer relationship management CRM software — Allied Financial Software Act4Advisors
Customer relationship management CRM software — Applied Systems Vision
Customer relationship management CRM software — Insurance Technologies ForeSight Enterprise
Customer relationship management CRM software — Tangle S Creations Your Insurance Office
Customer relationship management CRM software — 8 more Related occupations
Data base user interface and query software — Insurance Technology Consultants WOW Related occupations
Document management software — Allstar Software Systems Kofax Related occupations
Electronic mail software — Microsoft Outlook Related occupations
Enterprise resource planning ERP software — Advantage Information Systems The Agency Advantage
Enterprise resource planning ERP software — AMS Services AMS Sagitta
Enterprise resource planning ERP software — Microsoft Dynamics
Enterprise resource planning ERP software — Vulcan Solutions Vulcan Insurance
Enterprise resource planning ERP software — 24 more Related occupations
Financial analysis software — Cygnus Software IncomeMax
Financial analysis software — Insurance analysis software
Financial analysis software — Insurance rating software
Financial analysis software — Underwriting software Related occupations
Instant messaging software — GroupMe Related occupations
Internet browser software — Web browser software Related occupations
Medical software — Healthcare common procedure coding system HCPCS
Medical software — Medical procedure coding software Related occupations
Office suite software — Microsoft Office software Related occupations
Operating system software — Microsoft Windows Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Video conferencing software — LogMeIn GoToMeeting
Video conferencing software — Zoom Related occupations
Video creation and editing software — Adobe After Effects
Video creation and editing software — Apple Final Cut Pro
Video creation and editing software — YouTube Related occupations
Web page creation and editing software — Facebook
Web page creation and editing software — LinkedIn Related occupations
Word processing software — Microsoft Word Related occupations"
Insurance Underwriters,"Data base user interface and query software — Database software
Data base user interface and query software — Microsoft Access Related occupations
Document management software — IBM FileNet Content Manager Related occupations
Electronic mail software — Microsoft Outlook Related occupations
Enterprise resource planning ERP software — Anodas Software Limited Phoenix
Enterprise resource planning ERP software — Consilience Software Maven Insurance Automation Suite
Enterprise resource planning ERP software — SIS SEMCI PARTNER
Enterprise resource planning ERP software — Skywire Software InsBridge
Enterprise resource planning ERP software — 3 more Related occupations
Financial analysis software — Delphi Technology
Financial analysis software — Fannie Mae Desktop Underwriter
Financial analysis software — RGA Facultative Application Console
Financial analysis software — Valen Technologies Risk Manager
Financial analysis software — 4 more Related occupations
Information retrieval or search software — LexisNexis Related occupations
Internet browser software — Web browser software Related occupations
Object or component oriented development software — C++ Related occupations
Office suite software — Microsoft Office software Related occupations
Operating system software — Microsoft Windows Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Word processing software — Microsoft Word Related occupations"
Intelligence Analysts,"Analytical or scientific software — Data visualization software
Analytical or scientific software — SAS
Analytical or scientific software — Telephone analysis software
Analytical or scientific software — TensorFlow
Analytical or scientific software — 2 more Related occupations
Backup or archival software — Veritas NetBackup Related occupations
Business intelligence and data analysis software — Apache Spark
Business intelligence and data analysis software — Oracle Business Intelligence Enterprise Edition
Business intelligence and data analysis software — Tableau Related occupations
Charting software — Timeline software Related occupations
Cloud-based management software — Google Cloud software
Cloud-based management software — Splunk Enterprise Related occupations
Data base management system software — Apache Hadoop
Data base management system software — Apache Hive
Data base management system software — Apache Pig
Data base management system software — Teradata Database
Data base management system software — 1 more Related occupations
Data base user interface and query software — Amazon Web Services AWS software
Data base user interface and query software — Microsoft Access
Data base user interface and query software — Microsoft SQL Server
Data base user interface and query software — Structured query language SQL
Data base user interface and query software — 16 more Related occupations
Data mining software — Text mining software Related occupations
Development environment software — Apache Kafka
Development environment software — Microsoft Azure software
Development environment software — Microsoft PowerShell Related occupations
Document management software — Microsoft SharePoint Related occupations
Electronic mail software — Email software
Electronic mail software — Microsoft Outlook Related occupations
Enterprise resource planning ERP software — Oracle PeopleSoft
Enterprise resource planning ERP software — SAP software Related occupations
Geographic information system — ESRI ArcGIS software
Geographic information system — Geographic information system GIS software
Geographic information system — Geographic information system GIS systems
Geographic information system — Google Earth Pro
Geographic information system — 1 more Related occupations
Graphics or photo imaging software — Graphics creation software
Graphics or photo imaging software — Microsoft Visio
Graphics or photo imaging software — Photo enhancement software Related occupations
Industrial control software — Chatbot software Related occupations
Information retrieval or search software — LexisNexis Related occupations
Internet browser software — Web browser software Related occupations
Network monitoring software — Snort
Network monitoring software — Wireshark Related occupations
Network security and virtual private network VPN equipment software — Firewall software Related occupations
Object or component oriented development software — C++
Object or component oriented development software — Oracle Java
Object or component oriented development software — Python
Object or component oriented development software — R Related occupations
Office suite software — Microsoft Office software Related occupations
Operating system software — Linux
Operating system software — UNIX Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Process mapping and design software — Flowcharting software Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Storage networking software — Amazon Simple Storage Service S3 Related occupations
Transaction security and virus protection software — Encryption software
Transaction security and virus protection software — McAfee
Transaction security and virus protection software — NortonLifeLock cybersecurity software Related occupations
Web page creation and editing software — Facebook
Web page creation and editing software — LinkedIn
Web page creation and editing software — Myspace Related occupations
Web platform development software — Django
Web platform development software — Hypertext markup language HTML
Web platform development software — JavaScript Related occupations
Word processing software — Microsoft Word Related occupations"
Interior Designers,"Computer aided design CAD software — Autodesk AutoCAD
Computer aided design CAD software — Autodesk Revit
Computer aided design CAD software — Computer aided design and drafting software CADD
Computer aided design CAD software — Trimble SketchUp Pro
Computer aided design CAD software — 8 more Related occupations
Desktop publishing software — Adobe InDesign Related occupations
Document management software — Adobe Acrobat Related occupations
Electronic mail software — Email software
Electronic mail software — IBM Notes
Electronic mail software — Microsoft Outlook Related occupations
Graphics or photo imaging software — Adobe Creative Cloud software
Graphics or photo imaging software — Adobe Illustrator
Graphics or photo imaging software — Adobe Photoshop
Graphics or photo imaging software — iPhotoMEASURE Related occupations
Internet browser software — Web browser software Related occupations
Office suite software — Microsoft Office software Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Project management software — Microsoft Project Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Video creation and editing software — Autodesk 3ds Max
Video creation and editing software — Maxon Cinema 4D Related occupations
Word processing software — Microsoft Word Related occupations"
Interpreters and Translators,"Data base user interface and query software — Microsoft Access Related occupations
Dictionary software — Electronic dictionaries Related occupations
Electronic mail software — Microsoft Outlook Related occupations
Foreign language software — AceTools.biz Ace Translator
Foreign language software — Adapt It
Foreign language software — Smart Link Corporation ImTranslator
Foreign language software — Stormdance CatsCradle
Foreign language software — 11 more Related occupations
Internet browser software — Web browser software Related occupations
Internet protocol IP multimedia subsystem software — Voice over internet protocol VoIP system software Related occupations
Mobile messaging service software — Intrado SchoolMessenger Related occupations
Office suite software — Microsoft Office software Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Web platform development software — Extensible hypertext markup language XHTML
Web platform development software — Hypertext markup language HTML Related occupations
Word processing software — Microsoft Word Related occupations"
"Interviewers, Except Eligibility and Loan","Analytical or scientific software — Statistical software Related occupations
Customer relationship management CRM software — Microsoft Dynamics Related occupations
Data base user interface and query software — FileMaker Pro
Data base user interface and query software — Student information systems SIS software Related occupations
Electronic mail software — Microsoft Outlook Related occupations
Enterprise resource planning ERP software — Jenzabar EX
Enterprise resource planning ERP software — Oracle PeopleSoft
Enterprise resource planning ERP software — SAP Business Objects Related occupations
Human resources software — RIVS automated interview software Related occupations
Internet browser software — Web browser software Related occupations
Medical software — Electronic health record EHR software
Medical software — Medical condition coding software
Medical software — Medical procedure coding software
Medical software — MEDITECH software Related occupations
Office suite software — Microsoft Office software Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Project management software — Creative Research Systems The Survey System
Project management software — Nebu Dub InterViewer
Project management software — Qualtrics Insight
Project management software — SaaS SurveyMonkey
Project management software — 1 more Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Video conferencing software — Zoom Related occupations
Word processing software — Microsoft Word Related occupations"
Investment Fund Managers,"Accounting software — Financial accounting software Related occupations
Analytical or scientific software — Risk analysis software
Analytical or scientific software — SAS
Analytical or scientific software — Statistical analysis software Related occupations
Business intelligence and data analysis software — Microsoft Power BI
Business intelligence and data analysis software — Tableau Related occupations
Computer aided design CAD software — Autodesk AutoCAD Blue Sky Related occupations
Data base user interface and query software — Microsoft Access
Data base user interface and query software — Structured query language SQL Related occupations
Document management software — ReadSoft Related occupations
Electronic mail software — Microsoft Outlook Related occupations
Enterprise resource planning ERP software — Oracle Hyperion
Enterprise resource planning ERP software — SAP software Related occupations
Financial analysis software — Oracle Hyperion Planning
Financial analysis software — Portfolio analysis software
Financial analysis software — SunGard Financial Systems AddVantage Related occupations
Internet browser software — Web browser software Related occupations
Map creation software — Microsoft MapPoint Related occupations
Office suite software — Microsoft Office software Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Process mapping and design software — Microsoft Visio Related occupations
Project management software — Microsoft Project Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Word processing software — Microsoft Word Related occupations"
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","Cloud-based data access and sharing software — Squeegee Related occupations
Desktop communications software — Eko Related occupations
Electronic mail software — Microsoft Outlook Related occupations
Office suite software — Microsoft Office software Related occupations
Operating system software — Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Word processing software — Microsoft Word Related occupations"
Jewelers and Precious Stone and Metal Workers,"Accounting software — Intuit QuickBooks Related occupations
Computer aided design CAD software — Computer assisted jewelry design CAD software
Computer aided design CAD software — Metal designing software Related occupations
Customer relationship management CRM software — Customer information databases Related occupations
Data base user interface and query software — Retail management software Related occupations
Electronic mail software — Microsoft Outlook Related occupations
Graphics or photo imaging software — Adobe Illustrator
Graphics or photo imaging software — Adobe Photoshop Related occupations
Internet browser software — Web browser software Related occupations
Inventory management software — Inventory tracking software Related occupations
Point of sale POS software — Jewelry store point of sale POS software Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Word processing software — Microsoft Word Related occupations"
"Judges, Magistrate Judges, and Magistrates","Data base user interface and query software — Online databases Related occupations
Document management software — Adobe Acrobat
Document management software — Hyland OnBase Enterprise Content Management Related occupations
Electronic mail software — Email software
Electronic mail software — Microsoft Outlook Related occupations
Information retrieval or search software — LexisNexis
Information retrieval or search software — Thomson Reuters Westlaw Related occupations
Instant messaging software — Related occupations
Internet browser software — Web browser software Related occupations
Legal management software — Courtroom scheduling software Related occupations
Office suite software — Microsoft Office software Related occupations
Operating system software — Microsoft operating system Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Video conferencing software — Videoconferencing software Related occupations
Web page creation and editing software — LinkedIn Related occupations
Word processing software — Microsoft Word Related occupations"
Judicial Law Clerks,"Analytical or scientific software — LexisNexis CourtLink Strategic Profiles Related occupations
Calendar and scheduling software — Aderant CompuLaw
Calendar and scheduling software — American Legalnet Smart Dockets
Calendar and scheduling software — Compugov DocketView
Calendar and scheduling software — Infocom JACS
Calendar and scheduling software — 2 more Related occupations
Data base user interface and query software — Microsoft Access
Data base user interface and query software — Orion Law Management Systems Orion
Data base user interface and query software — PTS Solutions WinJuris Court Solutions Related occupations
Document management software — Adobe Acrobat Related occupations
Electronic mail software — Microsoft Outlook Related occupations
Information retrieval or search software — LexisNexis
Information retrieval or search software — Public Access to Court Electronic Records (PACER)
Information retrieval or search software — Thomson Reuters Westlaw
Information retrieval or search software — Thomson Reuters WestlawNext
Information retrieval or search software — 2 more Related occupations
Internet browser software — Web browser software Related occupations
Office suite software — Corel WordPerfect Office Suite
Office suite software — Microsoft Office software Related occupations
Operating system software — Microsoft operating system
Operating system software — Microsoft Windows Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Project management software — Canyon Solutions Jcats
Project management software — Legal Files software
Project management software — New Dawn Technologies JustWare Court
Project management software — Thomson Reuters Elite ProLaw
Project management software — 3 more Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Web platform development software — Oracle JavaServer Pages JSP Related occupations
Word processing software — Microsoft Word
Word processing software — WordPerfect Related occupations"
"Kindergarten Teachers, Except Special Education","Computer based training software — Children's educational software
Computer based training software — Padlet Related occupations
Desktop communications software — Bloomz Related occupations
Electronic mail software — Microsoft Outlook Related occupations
Multi-media educational software — Seesaw Related occupations
Office suite software — Microsoft Office software Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Word processing software — Microsoft Word Related occupations"
Labor Relations Specialists,"Application server software — Kubernetes Related occupations
Data base user interface and query software — Microsoft Access
Data base user interface and query software — ServiceNow Related occupations
Document management software — Microsoft SharePoint Related occupations
Electronic mail software — Microsoft Outlook Related occupations
Enterprise resource planning ERP software — Oracle PeopleSoft Related occupations
Human resources software — Internet Grievance System IGS
Human resources software — LaborSoft LaborForce Reporting/Dashboard Manager module
Human resources software — Micropact entellitrak Labor Relations Edition
Human resources software — Oracle HRIS
Human resources software — 6 more Related occupations
Office suite software — Microsoft Office software Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Word processing software — Microsoft Word Related occupations"
"Laborers and Freight, Stock, and Material Movers, Hand","Computer aided design CAD software — Autodesk AutoCAD Related occupations
Data base user interface and query software — Data entry software
Data base user interface and query software — Oracle Database Related occupations
Desktop publishing software — Microsoft Publisher Related occupations
Electronic mail software — IBM Notes
Electronic mail software — Microsoft Outlook Related occupations
Enterprise resource planning ERP software — SAP software Related occupations
Industrial control software — Machine control software Related occupations
Internet browser software — Apple Safari
Internet browser software — Microsoft Edge
Internet browser software — Mozilla Firefox Related occupations
Inventory management software — Inventory management systems
Inventory management software — Inventory tracking software Related occupations
Materials requirements planning logistics and supply chain software — Warehouse management system WMS Related occupations
Office suite software — Microsoft Office software Related occupations
Operating system software — Handheld computer device software Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Video conferencing software — FaceTime Related occupations
Word processing software — Google Docs
Word processing software — Microsoft Word Related occupations"
